city,location,Status,latitude,longitude
Delhi,Shastri Nagar,Semi-Furnished,28.6736927,77.17319489
Delhi,Dwarka Mor,Furnished,28.62420845,77.03496552
Delhi,Safdarjung Enclave,Furnished,28.56477928,77.19426727
Delhi,Safdarjung Enclave,Furnished,28.55963707,77.19561768
Delhi,Uttam Nagar,Furnished,28.61727142,77.05036163
Delhi,Mansa Ram Park,Furnished,28.61807823,77.04087067
Delhi,Sagar Pur,Unfurnished,28.60865021,77.1001358
Delhi,Uttam Nagar,Furnished,28.61945724,77.05670929
Delhi,Dwarka Mor,Furnished,28.6241684,77.0315094
Delhi,Uttam Nagar,Furnished,28.62231636,77.05524445
Delhi,Uttam Nagar,Semi-Furnished,28.61868668,77.04715729
Delhi,Dabri,Semi-Furnished,28.60548592,77.09065247
Delhi,Chattarpur,Semi-Furnished,28.49557686,77.18509674
Delhi,Chattarpur,Furnished,28.49751854,77.17887115
Delhi,Chattarpur,Unfurnished,28.49751854,77.17887115
Delhi,Dwarka Mor,Furnished,28.62137222,77.03656006
Delhi,Paschim Vihar,Furnished,28.66797447,77.10562134
Delhi,Paschim Vihar,Furnished,28.66589928,77.09988403
Delhi,Paschim Vihar,Semi-Furnished,28.6651535,77.10945129
Delhi,Paschim Vihar,Semi-Furnished,28.66866684,77.10193634
Delhi,Paschim Vihar,Semi-Furnished,28.67425346,77.10559845
Delhi,Paschim Vihar,Semi-Furnished,28.67246056,77.1107254
Delhi,Paschim Vihar,Furnished,28.66866684,77.10193634
Delhi,Paschim Vihar,Semi-Furnished,28.67586708,77.0990448
Delhi,Paschim Vihar,Semi-Furnished,28.67428589,77.1042099
Delhi,Paschim Vihar,Furnished,28.67246056,77.1107254
Delhi,Paschim Vihar,Semi-Furnished,28.66716957,77.09479523
Delhi,Paschim Vihar,Furnished,28.6651535,77.10945129
Delhi,Paschim Vihar,Semi-Furnished,28.67585373,77.09893799
Delhi,Paschim Vihar,Semi-Furnished,28.67709351,77.10632324
Delhi,Vijay Nagar,Semi-Furnished,28.6918602,77.20270538
Delhi,Kamla Nagar,Semi-Furnished,28.68088913,77.20654297
Delhi,Dwarka Mor,Semi-Furnished,28.62137222,77.03656006
Delhi,Bindapur,Furnished,28.61730194,77.06211853
Delhi,Uttam Nagar,Furnished,28.62089157,77.0579834
Delhi,Janakpuri,Semi-Furnished,28.63110924,77.0867157
Delhi,Ajmeri Gate,Unfurnished,28.64343071,77.07590485
Delhi,Sagar Pur,Semi-Furnished,28.60399246,77.10236359
Delhi,Sagar Pur,Unfurnished,28.60144806,77.10504913
Delhi,Mansa Ram Park,Semi-Furnished,28.61701584,77.04221344
Delhi,Rajpur,Furnished,28.48803711,77.19055176
Delhi,Paschim Vihar,Semi-Furnished,28.67382431,77.10536957
Delhi,Dwarka Mor,Semi-Furnished,28.62420845,77.03496552
Delhi,Greater Kailash,Semi-Furnished,28.5448494,77.24253845
Delhi,Jangpura,Furnished,28.58156013,77.24331665
Delhi,Sagar Pur,Semi-Furnished,28.60865021,77.1001358
Delhi,Chittaranjan Park,Semi-Furnished,28.53881073,77.2489624
Delhi,Lajpat Nagar,Semi-Furnished,28.57617188,77.24238586
Delhi,Greater Kailash,Semi-Furnished,28.5327301,77.24281311
Delhi,Greater Kailash II,Semi-Furnished,28.5411396,77.23999023
Delhi,Greater Kailash,Semi-Furnished,28.53972435,77.23821259
Delhi,Garhi,Semi-Furnished,28.55780602,77.25098419
Delhi,Saket,Semi-Furnished,28.52349854,77.20964813
Delhi,Dwarka Mor,Furnished,28.6219635,77.03809357
Delhi,Dwarka Mor,Furnished,28.62037849,77.03759003
Delhi,Panchsheel Park,Semi-Furnished,28.54245758,77.2142334
Delhi,Greater Kailash,Furnished,28.53378677,77.24255371
Delhi,Vasant Vihar,Semi-Furnished,28.55942154,77.15887451
Delhi,Panchsheel Park,Semi-Furnished,28.54257011,77.21405792
Delhi,Nizamuddin East,Semi-Furnished,28.59021187,77.24993896
Delhi,Kalkaji,Semi-Furnished,28.53680611,77.25686646
Delhi,Greater Kailash,Semi-Furnished,28.53500175,77.24775696
Delhi,Green Park Extension,Furnished,28.55844879,77.20293427
Delhi,Vasant Vihar,Semi-Furnished,28.56521034,77.16281891
Delhi,Vasant Vihar,Unfurnished,28.55489159,77.24423218
Delhi,Greater Kailash,Semi-Furnished,28.54381561,77.24092865
Delhi,Defence Colony,Semi-Furnished,28.57329178,77.23259735
Delhi,East of Kailash,Semi-Furnished,28.55644989,77.24015808
Delhi,Defence Colony,Furnished,28.57709885,77.23474884
Delhi,Greater kailash 1,Semi-Furnished,28.54862404,77.23415375
Delhi,Defence Colony,Unfurnished,28.57263374,77.23251343
Delhi,Subhash Nagar,Semi-Furnished,28.64197731,77.11058044
Delhi,Paschim Vihar,Furnished,28.66517067,77.1062088
Delhi,Ashok Nagar,Furnished,28.6388588,77.10450745
Delhi,Defence Colony,Semi-Furnished,28.57401276,77.23665619
Delhi,Ansari Nagar West,Semi-Furnished,28.56530571,77.20649719
Delhi,Sat Bari,Semi-Furnished,28.47826767,77.19262695
Delhi,Panchsheel Park,Semi-Furnished,28.54221535,77.21431732
Delhi,Kirti Nagar,Furnished,28.64817238,77.14144897
Delhi,Mansarover Garden,Unfurnished,28.64325905,77.13282776
Delhi,Ramesh Nagar,Unfurnished,28.64922142,77.13320923
Delhi,Chattarpur,Furnished,28.50388718,77.18184662
Delhi,Greater Kailash,Semi-Furnished,28.5457592,77.24568176
Delhi,Naraina,Semi-Furnished,28.63214111,77.13885498
Delhi,Rajouri Garden,Furnished,28.64184761,77.1171875
Delhi,Defence Colony,Semi-Furnished,28.57119751,77.23151398
Delhi,Chittaranjan Park,Unfurnished,28.54078484,77.24668121
Delhi,Chittaranjan Park,Unfurnished,28.53873825,77.2490921
Delhi,Sheikh Sarai,Furnished,28.54449463,77.21342468
Delhi,Greater kailash 1,Furnished,28.55097771,77.23594666
Delhi,Saket,Semi-Furnished,28.52428436,77.20967865
Delhi,Chittaranjan Park,Semi-Furnished,28.53873825,77.2490921
Delhi,Greater kailash 1,Semi-Furnished,28.54842758,77.23432159
Delhi,Greater kailash 1,Semi-Furnished,28.54952621,77.23841858
Delhi,Greater Kailash,Semi-Furnished,28.55015373,77.24145508
Delhi,Central Ridge Reserve Forest,Semi-Furnished,28.60680962,77.18360138
Delhi,Ashok Nagar,Semi-Furnished,28.6378231,77.10163879
Delhi,Rajouri Garden,Unfurnished,28.64152908,77.12091064
